Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
100.0,95.24587291318662,13.527191523343935
101.0,93.92806176506738,13.577318177541398
102.0,92.08851171554466,12.865823255093174
103.0,91.47908129883854,13.560699260464649
104.0,90.76943623283931,13.028867233690539
105.0,90.33446996454099,11.468968085596611
106.0,90.20252292908897,12.038634510186254
107.0,89.62485248304652,11.48948045093487
108.0,88.61600093472936,11.504337824283198
109.0,88.32274817146231,12.012150197185838
110.0,87.61974379667059,11.797947854684043
111.0,88.00885709833167,11.73466006895721
112.0,87.14745457272284,10.040114342784742
113.0,85.8967041868565,9.647910668529184
114.0,85.9614658779109,10.743622177171549
115.0,85.86008397757233,11.959870597783967
116.0,85.85938290491083,11.850581641396655
117.0,86.29985089426299,11.627597495952012
118.0,85.43375661156665,10.683322791941674
119.0,85.22573176587164,11.117253173019447
120.0,84.0388877604369,11.784773593232838
121.0,83.93348265258753,11.366368354735835
122.0,83.51491744834003,10.630889699801253
123.0,83.08767468904495,9.474099364097125
124.0,83.16676271511098,9.804287496882875
125.0,81.9459305824395,10.418359747071637
126.0,81.21068244397685,10.141336803318145
127.0,80.63227948780752,11.182047460676877
128.0,80.78837165704977,10.522868327918635
129.0,81.12847752765995,10.191913409518426
130.0,80.11037523572045,9.382581145221447
131.0,79.38617776219408,10.299849165477477
132.0,79.20588386771398,11.540736492675027
133.0,79.11625991399129,10.231473192757615
134.0,79.59259051047026,9.630872744596756
135.0,79.3690526032581,9.532116390586054
136.0,78.9524526936384,10.007920403013108
137.0,78.4263430345902,11.044680547395398
138.0,77.70588034636481,11.391828538497741
139.0,77.34543593585789,10.693109102017244
140.0,77.38608901614529,9.759581413657234
141.0,77.68339973737628,9.992226461276315
142.0,77.15214687834145,10.41933005137116
143.0,75.69378416624772,11.436455617453971
144.0,75.19919376807383,11.623099849097592
145.0,75.38497658923909,11.066516023946036
146.0,76.02564060490764,11.190043168381957
147.0,75.89036048492363,10.750945094136448
148.0,74.52905450366505,11.26479955836599
149.0,74.10136799001566,12.158363886186226
150.0,74.69962439466747,11.059210122350093
151.0,74.50869301235672,10.615989086488245
152.0,73.42189656242562,9.194972252402314
153.0,73.35424908249473,9.169210548118194
154.0,74.51225740894512,9.955698317343908
155.0,73.5524262606956,11.891806817441823
156.0,72.73254319046329,11.303773416712986
157.0,73.68735924650218,10.388100751082112
158.0,74.1903446806073,9.029007734955234
159.0,73.28251989155851,8.811619209031758
160.0,72.16700214351992,9.888727269271012
161.0,71.80033283947859,10.701862583148335
162.0,72.32468672818695,9.69477887804551
163.0,72.79227324845081,9.01829021062328
164.0,72.13370832270715,8.357523751421343
165.0,72.2963200689409,9.060295881022775
166.0,72.24303567677336,10.342280256676254
167.0,71.42121367793312,10.382762501819082
168.0,71.35881424424724,9.369960000945643
169.0,72.85744741096975,8.972628122530804
170.0,72.81777967273737,8.406452017700389
171.0,71.1879468652669,8.941531127273201
172.0,70.67870693138885,9.954012763238705
173.0,71.3148153674639,10.097493017250546
174.0,72.10713034922819,9.226780320818593
175.0,71.2347075581146,8.324236863069217
176.0,71.30925157567499,8.61845794476696
177.0,71.150134000086,9.132517336350793
178.0,70.73832866084832,9.961272512411432
179.0,69.80555401536401,8.886308897928593
180.0,70.32021857810265,8.699548870761086
181.0,71.52049557127708,8.360764952555586
182.0,71.68390875437376,8.476764484503274
183.0,71.06013320943414,9.32888751624623
184.0,70.16610757415398,10.221785259584179
185.0,70.26228393829564,9.634603513130447
186.0,71.06944526296215,9.172267868706523
187.0,70.85806595724932,8.609599484089808
188.0,70.42154054830785,8.61736314961856
189.0,69.91967261852938,9.367580045008534
190.0,69.85945317031184,9.966301596086806
191.0,69.99402161136828,9.201596467441314
192.0,69.98392101222518,9.356549596061637
193.0,70.1542047358042,9.114796914680499
194.0,70.32611723946573,9.741428998226995
195.0,70.90327885482526,10.754901940984736
196.0,69.8413625057357,10.425572619003816
197.0,69.52630392691222,9.695603713728625
198.0,70.43773601680911,9.416517846259843
199.0,71.1051666102563,9.298558867366175
200.0,70.07422472590277,9.602670613136715
201.0,69.1094932259625,10.47253916066635
202.0,69.52677359573741,10.94324608077905
203.0,70.54666773561313,10.32276710411629
204.0,70.77852598908096,9.525601128948537
205.0,70.01762087945775,9.130385014694387
206.0,69.16242346921656,9.789818557872726
207.0,69.35831696100873,10.312405562298228
208.0,69.32060242665003,10.01331753172953
209.0,68.73217758288229,9.11161134349254
210.0,69.32740490377127,8.8350813973918
211.0,70.51781968431249,8.580810050989163
212.0,69.31738475825567,9.71835850994118
213.0,68.04123380606089,10.30108249965113
214.0,68.50298797671721,10.370168158080375
215.0,69.93653655862093,9.565261420439219
216.0,69.99881647118609,9.402917273896017
217.0,69.1497002142616,9.449048179764125
218.0,69.27653769422193,10.565778170355445
219.0,69.50652324112892,10.761796349426229
220.0,69.09505926471928,9.626113624053415
221.0,69.18236033591818,9.19188713739377
222.0,69.51663817366548,8.851528713305603
223.0,69.68072122149204,8.99083531270296
224.0,69.59871153793063,9.521990740360897
225.0,68.24685375498575,9.404091505156575
226.0,68.06611185143183,8.278094641241179
227.0,69.30925592628765,7.902847808692274
228.0,69.53222846301854,7.569335564949462
229.0,68.81912842783774,7.403966810606148
230.0,68.3307859161188,8.404885300300991
231.0,68.61952428846837,8.877787922661673
232.0,68.14658309735151,8.276517931588844
233.0,68.4726011235986,8.302462348023942
234.0,68.63990157917189,7.934563814911281
235.0,69.04711941033094,8.247959364225025
236.0,67.83049363239532,8.606352023380552
237.0,67.17185325004348,8.690121617295022
238.0,68.29454788174255,8.185833558440857
239.0,69.20456475382592,7.421459960935526
240.0,69.25920138546476,7.010632410575419
241.0,68.51595249194796,7.705200960518183
242.0,68.21106174212862,8.79353752238062
243.0,68.8463989150537,8.037588001231217
244.0,68.95129336034506,7.23392750616889
245.0,68.64469410710029,6.7965219538755415
246.0,68.20529983179551,6.512502201290854
247.0,68.50332248830281,7.097185717381777
248.0,68.85824044262705,8.222388746088496
249.0,67.973039350879,7.691135360923434
250.0,68.21230416670474,7.407094743493096
251.0,68.6127182045756,6.614250173542891
252.0,69.78105998589946,7.396750569150233
253.0,68.11274286744327,8.382735699280337
254.0,67.84198466415768,8.736611539787148
255.0,68.7556541815127,8.68352365231203
256.0,70.02329790027613,7.836363861102266
257.0,69.51419710935912,6.970633639315741
258.0,68.99850011917462,7.529545909561536
259.0,68.7822516339519,8.257848030370658
260.0,69.02302556848483,8.316804641302427
261.0,68.38398109430173,7.911785092705568
262.0,67.97541289457118,7.520652601453338
263.0,68.40829643590023,7.15980421347439
264.0,69.6334254207118,7.172747151593233
265.0,68.82651377437746,7.86862570443687
