NTP Epoch Time (s),Test Time (s),0: O2 (Vol fr),1: CO2 (Vol fr),2: CO (Vol fr),3: Io (%),4: I (%),5: Pe (Pa),6: CJC0 (°C),7: TCraw1 (V),8: TCraw2 (V),9: SampMass (g),10: BurnerFlow (SLPM),11: BurnerFlowSet (SLPM),12: TCraw3 (V),13: TCraw4 (V),14: TCraw5 (V),15: Hfspare (V),16: TCraw7 (V),17: HeatFlux (kW/m^2),18: CanopyFlow (V),19: MarkSig (V),20: Pamb (kPa),21: Tamb (°C),22: RHamb (%),23: Tsmk (°C),24: Tcone (°C),25: Te (°C),26: H2Oa (Vol fr),27: Rhoe (kg/m3),28: MFRe (kg/s),29: VFRe (L/s),30: Ksm (1/m),31: HRRmethane (kW),32: Phi (none),33: RHR (kW),34: RHRA (kW/m2),35: newCf (none),36: EvMark (none),System State
1565030870.80359173,20.00000000,0.20943345,0.00041879,0.00000215,101.26664640,102.35888393,132.35857833,20.31883292,0.00138743,0.00135995,-157.31354665,0.24522876,8.40391570,0.00641674,0.00796747,0.00784996,0.00006333,0.00066784,0.20546024,1.29879185,2.54795298,99.75000000,20.09000000,52.88400000,54.27612305,177.19989014,53.61182022,0.01247790,1.08043646,0.02545777,23.56248844,-0.09595712,0.14588664,0.00037537,0.02846952,2.84695214,NaN,0.00000000,
1565030871.80365467,21.00000000,0.20945846,0.00041417,0.00000235,101.31745215,102.27291328,129.67099402,20.31967000,0.00143937,0.00136397,-157.47129276,0.24400580,8.40362971,0.00654821,0.00868005,0.00849830,0.00006696,0.00066806,0.21514922,1.31598489,2.54788809,99.75000000,20.09000000,52.88300000,55.53191757,180.48951721,53.70990372,0.01247767,1.08011224,0.02519420,23.32553956,-0.08395512,0.14515910,0.00022993,0.01719359,1.71935949,NaN,0.00000000,
1565030872.80371952,22.00000000,0.20944189,0.00041230,0.00000241,101.30150151,102.10061376,131.01361256,20.31985493,0.00137023,0.00136241,-157.30338803,0.24520924,8.40437068,0.00652349,0.00824318,0.00817320,0.00006148,0.00066926,0.24798412,1.36737584,2.54801300,99.75000000,20.09000000,52.88300000,53.86146927,179.87117004,53.67243576,0.01247767,1.08023607,0.02532575,23.44464152,-0.07028178,0.14587503,0.00033230,0.02504045,2.50404492,NaN,0.00000000,
1565030873.80378151,23.00000000,0.20944931,0.00041495,0.00000209,101.27668940,102.36533173,131.20608582,20.31946235,0.00142879,0.00134281,-157.47627623,0.24493603,8.40184878,0.00644656,0.00760003,0.00742298,0.00006135,0.00066712,0.25318747,1.34788099,2.54801462,99.75000000,20.08000000,52.88400000,55.27624130,177.94633484,53.19818878,0.01247016,1.08180586,0.02536275,23.44482782,-0.09563352,0.14571249,0.00028453,0.02147036,2.14703632,NaN,0.00000000,
1565030874.80383253,24.00000000,0.20944433,0.00041679,0.00000237,101.24242506,102.13930055,130.43149822,20.31965702,0.00140151,0.00132825,-157.23112766,0.24530031,8.40438368,0.00654214,0.00852938,0.00839584,0.00006008,0.00066576,0.24941953,1.32514997,2.54787998,99.75000000,20.08000000,52.88500000,54.61721420,180.33769226,52.84603882,0.01247039,1.08297446,0.02530143,23.36290577,-0.07888805,0.14592921,0.00031194,0.02347672,2.34767213,NaN,0.00000000,
1565030875.80356836,25.00000000,0.20943436,0.00041764,0.00000199,101.28584625,102.09309133,130.32117817,20.31993929,0.00144453,0.00134535,-157.33712231,0.24517021,8.40523515,0.00640662,0.00713851,0.00701983,0.00006161,0.00066034,0.22806787,1.31622497,2.54800002,99.75000000,20.08000000,52.88500000,55.65677261,176.94779968,53.25986099,0.01247039,1.08160146,0.02527469,23.36784097,-0.07100516,0.14585181,0.00037149,0.02798159,2.79815907,NaN,0.00000000,
1565030876.80493593,26.00000000,0.20947168,0.00041732,0.00000239,101.20816072,102.26718190,127.66410793,20.31951426,0.00142857,0.00143220,-157.25872844,0.24545643,8.40712657,0.00644552,0.00796199,0.00779600,0.00006277,0.00066806,0.23883341,1.36193195,2.54813142,99.75000000,20.08000000,52.88600000,55.27080917,177.92042542,55.35858154,0.01247063,1.07469151,0.02493567,23.20263036,-0.09310757,0.14602209,0.00014608,0.01075546,1.07554564,NaN,0.00000000,
1565030877.80502224,27.00000000,0.20944901,0.00041515,0.00000175,101.23533588,102.19016652,129.97144011,20.32039352,0.00147263,0.00139534,-157.50176861,0.24445465,8.40472167,0.00636100,0.00806237,0.00798982,0.00006300,0.00066190,0.23129754,1.31011762,2.54805193,99.75000000,20.08000000,52.88700000,56.33565140,175.80737305,54.46895981,0.01247086,1.07760974,0.02519413,23.37964613,-0.08396771,0.14542612,0.00028655,0.02150159,2.15015903,NaN,0.00000000,
1565030878.80510664,28.00000000,0.20942654,0.00041417,0.00000234,101.18275784,101.93941878,131.87035336,20.31996200,0.00149336,0.00135495,-157.31757176,0.24541090,8.40845902,0.00644455,0.00741646,0.00728574,0.00006368,0.00066157,0.20402483,1.33502393,2.54798056,99.75000000,20.08000000,52.89000000,56.83567429,177.89653015,53.49211121,0.01247157,1.08083242,0.02541543,23.51468288,-0.06663988,0.14599500,0.00042272,0.03201267,3.20126694,NaN,0.00000000,
1565030879.80483437,29.00000000,0.20944860,0.00041319,0.00000217,101.14908426,102.08843458,128.05844344,20.32082504,0.00146864,0.00135336,-157.35705621,0.24507263,8.40383770,0.00643108,0.00785910,0.00770340,0.00005849,0.00066378,0.24493389,1.31456066,2.54805842,99.75000000,20.08000000,52.89000000,56.23972321,177.56060791,53.45451355,0.01247157,1.08095684,0.02504684,23.17099347,-0.08268276,0.14579376,0.00029095,0.02167911,2.16791057,NaN,0.00000000,
