Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
630.0,,,,,,,,,604.63,3.21,78.7,2.07,0.0198,0.7335,0.0153,0.0001
635.0,,,,,,,,,476.74,3.95,76.6,1.67,0.026,0.5729,0.0116,0.0001
640.0,,,,,,,,,453.58,4.55,76.9,1.43,0.0245,0.5304,0.0096,0.0
645.0,,,,,,,,,526.71,3.72,77.4,1.7,0.0213,0.6713,0.0126,0.0001
650.0,,,,,,,,,570.35,3.22,74.7,2.0,0.0269,0.6439,0.0135,0.0
655.0,,,,,,,,,522.69,3.51,72.7,1.77,0.0321,0.5382,0.0116,0.0001
660.0,,,,,,,,,425.61,3.34,72.5,1.8,0.0342,0.5318,0.0112,0.0
665.0,,,,,,,,,438.49,2.77,68.9,2.16,0.0358,0.5944,0.0132,0.0002
670.0,,,,,,,,,443.57,3.18,66.7,1.84,0.0375,0.5136,0.0114,0.0
675.0,,,,,,,,,261.69,3.4,65.5,1.7,0.0402,0.4571,0.0107,0.0001
680.0,,,,,,,,,350.19,2.95,63.7,1.93,0.0373,0.5619,0.0133,0.0
685.0,,,,,,,,,184.76,3.24,63.4,1.68,0.0424,0.4794,0.0106,0.0
690.0,,,,,,,,,213.7,2.94,60.4,1.84,0.0509,0.4301,0.0115,0.0001
695.0,,,,,,,,,182.5,1.92,58.8,2.7,0.0517,0.6393,0.0179,0.0
700.0,,,,,,,,,242.95,2.21,57.4,2.35,0.0506,0.5968,0.0146,0.0001
705.0,,,,,,,,,190.46,3.01,55.2,1.64,0.0546,0.4263,0.0118,0.0001
710.0,,,,,,,,,68.89,2.72,54.3,1.78,0.0549,0.4802,0.0129,0.0002
715.0,,,,,,,,,97.27,2.23,53.5,2.13,0.058,0.5654,0.0148,0.0
720.0,,,,,,,,,80.91,1.98,53.0,2.35,0.0573,0.6177,0.0178,0.0001
725.0,,,,,,,,,196.25,2.18,51.6,2.06,0.0676,0.5056,0.0173,0.0001
730.0,,,,,,,,,9.72,2.72,49.5,1.66,0.0816,0.2989,0.0137,0.0001
735.0,,,,,,,,,3.4,2.34,49.1,1.91,0.0888,0.3395,0.0163,0.0
740.0,,,,,,,,,9.82,1.84,48.7,2.35,0.1097,0.4041,0.0202,0.0002
745.0,,,,,,,,,66.5,2.16,46.9,1.97,0.1036,0.3592,0.018,0.0
750.0,,,,,,,,,85.82,2.52,45.4,1.69,0.1128,0.1982,0.0144,0.0
755.0,,,,,,,,,55.0,1.99,44.2,2.12,0.1082,0.4181,0.0204,0.0
760.0,,,,,,,,,0.0,1.02,44.6,4.19,0.1318,0.6391,0.0362,0.0
765.0,,,,,,,,,236.93,1.09,43.3,3.86,0.2488,0.2772,0.0386,0.0
770.0,,,,,,,,,0.0,1.76,41.6,2.3,0.1402,0.3722,0.0229,0.0
775.0,,,,,,,,,114.06,2.41,41.0,1.67,0.1195,0.2905,0.0161,0.0
780.0,,,,,,,,,71.7,2.51,41.1,1.54,0.1151,0.2914,0.017,0.0
785.0,,,,,,,,,58.55,2.34,38.5,1.65,0.1438,0.2025,0.0181,0.0002
790.0,,,,,,,,,0.0,1.8,38.8,2.1,0.192,0.18,0.0229,0.0
795.0,,,,,,,,,35.68,1.26,38.3,2.99,0.1522,0.5477,0.031,0.0001
800.0,,,,,,,,,392.06,0.8,37.2,4.61,0.1808,0.6638,0.0495,0.0
805.0,,,,,,,,,0.0,1.5,37.3,2.48,0.1856,0.353,0.0256,0.0
810.0,,,,,,,,,0.0,1.35,35.6,2.7,0.0916,0.7121,0.0261,0.0
815.0,,,,,,,,,178.06,1.45,35.2,2.57,0.1157,0.6139,0.0258,0.0004
820.0,,,,,,,,,0.79,1.98,36.4,1.83,0.056,0.7407,0.0183,0.0
825.0,,,,,,,,,206.24,1.32,35.8,2.76,0.0931,0.7132,0.0274,0.0001
830.0,,,,,,,,,0.0,0.91,34.3,4.0,0.1195,0.7482,0.0424,0.0002
835.0,,,,,,,,,31.31,1.7,32.9,2.09,0.0958,0.6184,0.0216,0.0001
840.0,,,,,,,,,138.94,2.01,32.8,1.67,0.108,0.4836,0.0177,0.0
845.0,,,,,,,,,9.29,1.9,32.6,1.64,0.0934,0.5809,0.0201,0.0
850.0,,,,,,,,,0.0,1.86,30.8,1.74,0.1418,0.3738,0.0219,0.0
855.0,,,,,,,,,162.71,1.15,30.1,2.62,0.2127,0.4417,0.0377,0.0
860.0,,,,,,,,,34.91,0.73,29.5,4.09,0.2357,0.6058,0.0523,0.0
865.0,,,,,,,,,0.0,0.45,28.0,6.98,0.0,1.0966,0.0804,0.0001
870.0,,,,,,,,,0.0,1.07,29.7,2.87,0.1425,0.6572,0.033,0.0
875.0,,,,,,,,,153.85,1.81,28.8,1.78,0.1776,0.2772,0.0203,0.0002
880.0,,,,,,,,,30.41,1.62,29.2,2.01,0.2035,0.2374,0.0213,0.0
885.0,,,,,,,,,14.48,1.37,30.2,2.35,0.1359,0.5567,0.0243,0.0003
890.0,,,,,,,,,243.07,1.15,29.1,2.77,0.0938,0.7257,0.0278,0.0001
895.0,,,,,,,,,0.0,0.93,28.2,3.45,0.1121,0.7021,0.0325,0.0
900.0,,,,,,,,,208.42,1.32,27.9,2.55,0.1158,0.5574,0.0221,0.0004
905.0,,,,,,,,,136.99,1.55,27.1,2.13,0.1731,0.2182,0.0177,0.0003
910.0,,,,,,,,,285.66,1.04,26.0,3.31,0.1132,0.6002,0.0241,0.0
915.0,,,,,,,,,65.0,1.07,27.4,3.07,0.1377,0.4153,0.0235,0.0
920.0,,,,,,,,,0.0,1.32,26.9,2.47,0.1248,0.3474,0.0187,0.0002
925.0,,,,,,,,,0.0,0.8,25.7,4.04,0.1528,0.4383,0.0296,0.0
930.0,,,,,,,,,0.0,0.54,27.2,5.93,0.0,1.126,0.0413,0.0
935.0,,,,,,,,,300.87,0.83,25.4,3.85,0.1617,0.2928,0.0269,0.0
940.0,,,,,,,,,19.54,0.93,25.8,3.35,0.1758,0.144,0.0221,0.0001
945.0,,,,,,,,,112.58,1.49,25.9,1.99,0.0871,0.224,0.0131,0.0
950.0,,,,,,,,,154.16,1.95,24.4,1.55,0.0765,0.1125,0.0101,0.0003
955.0,,,,,,,,,0.0,1.01,26.1,2.82,0.1184,0.1897,0.0187,0.0
960.0,,,,,,,,,242.5,0.61,24.9,4.51,0.1914,0.2023,0.0291,0.0
965.0,,,,,,,,,721.22,0.39,25.2,7.49,0.0,1.2704,0.044,0.0
970.0,,,,,,,,,725.04,0.41,24.9,7.11,0.1115,0.6509,0.0415,0.0001
975.0,,,,,,,,,182.64,0.9,24.7,3.28,0.1477,0.0,0.0191,0.0
980.0,,,,,,,,,185.67,1.62,23.9,1.84,0.0663,0.0748,0.0101,0.0
985.0,,,,,,,,,66.08,1.15,23.0,2.64,0.0307,0.7043,0.0136,0.0
990.0,,,,,,,,,0.0,0.99,22.7,2.95,0.0034,0.9675,0.0145,0.0006
995.0,,,,,,,,,291.32,1.02,23.6,3.12,0.0333,0.6726,0.014,0.0
1000.0,,,,,,,,,428.62,0.62,23.4,5.14,0.0038,0.9755,0.0242,0.0002
1005.0,,,,,,,,,22.6,1.14,23.7,2.77,0.0389,0.5347,0.0117,0.0005
1010.0,,,,,,,,,297.9,0.97,23.6,3.34,0.0745,0.1773,0.0135,0.0001
1015.0,,,,,,,,,439.99,0.42,23.9,7.82,0.1659,0.2049,0.0323,0.0
1020.0,,,,,,,,,0.0,0.65,23.0,4.96,0.1233,0.0,0.0203,0.0003
1025.0,,,,,,,,,284.58,0.59,22.3,5.32,0.1067,0.2148,0.0215,0.0
1030.0,,,,,,,,,355.5,0.71,22.4,4.46,0.0669,0.3662,0.0171,0.0003
1035.0,,,,,,,,,0.0,0.93,21.8,3.46,0.0674,0.1673,0.0133,0.0
1040.0,,,,,,,,,0.0,0.52,22.6,5.98,0.1293,0.0275,0.0228,0.0
1045.0,,,,,,,,,893.27,0.29,22.2,10.62,0.0,1.2978,0.0384,0.0
