,Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
138,138.0,39.656812,0.2082384271,0.0017083203999999,4.16704e-05,50.89595015908175,0.0252495319980434
139,139.0,39.639619,0.2082583908999999,0.0017055037,4.36807e-05,49.13443269319006,0.0248853748853626
140,140.0,39.639636,0.2082466831,0.0016788825,4.28632e-05,50.07004528193009,0.0249040076973854
141,141.0,39.557303,0.2082037396,0.0016641454999999,4.09179e-05,52.06247351897488,0.0247144749890004
142,142.0,39.453888,0.2081805780999999,0.0016620486,4.03722e-05,53.90702501716876,0.0250092896853192
143,143.0,39.436822,0.208228704,0.0016706041999999,4.07757e-05,51.207911060482125,0.0249485687182915
144,144.0,39.43669,0.2082677674,0.001687525,4.38366e-05,49.69833143188002,0.0253208215335368
145,145.0,39.356993,0.2082775455,0.0016743922,4.48239e-05,49.0951344929109,0.0252084692606453
146,146.0,39.338802,0.2082738668,0.0016481249,4.23262e-05,49.09869881493094,0.0249462407200527
147,147.0,39.258404,0.2082364351,0.0016399221999999,4.05887e-05,50.9596563219089,0.024859173337017
148,148.0,39.240951,0.2082224905,0.0016400265,3.91987e-05,52.20823621256625,0.025105459453738
149,149.0,39.155516,0.2082743244,0.0016530535,3.88189e-05,49.251653968642415,0.0250311876476457
150,150.0,39.137499,0.2083096672,0.0016655412,4.1406e-05,46.62403968825457,0.0246988684165306
151,151.0,39.137681,0.2083159239,0.0016455482,4.23856e-05,47.90033848682143,0.0254421634912865
152,152.0,39.055841,0.2083092785999999,0.0016173553,4.05442e-05,47.44133759447698,0.0248410199168051
153,153.0,39.03875,0.2082661647,0.0016036227,3.92235e-05,50.40627683693426,0.0251362192004917
154,154.0,38.959044,0.2082684591,0.0016123652999999,3.90333e-05,49.75300414953293,0.0249140229532375
155,155.0,38.822139,0.208307414,0.0016264561,3.96274e-05,48.75572584970108,0.0255215065885901
156,156.0,38.829544,0.2083327737999999,0.0016355009,4.31358e-05,46.300023980795046,0.0250023656460689
157,157.0,38.755831,0.2083341845,0.0016222269,4.3905e-05,46.01745097140092,0.0248195989716439
158,158.0,38.73837,0.2083070109,0.0016075638,4.25874e-05,47.94204870983999,0.0250060540329083
159,159.0,38.738175,0.2082607515,0.0015949455,4.21535e-05,51.090419714620005,0.0253160392403409
160,160.0,38.658245,0.208274701,0.0016033669,4.22576e-05,49.95088765179163,0.0251550206178628
161,161.0,38.556533,0.20831268,0.0016241835,4.26341e-05,47.868665345792415,0.0252154569392699
162,162.0,38.537097,0.2083350094,0.0016327943,4.44224e-05,46.14789716230015,0.0249789048698223
163,163.0,38.536521,0.2083470069,0.0016141322,4.4318200000000005e-05,45.37785235729055,0.0247847831591452
164,164.0,38.45627,0.2083266558,0.0015889151,4.18334e-05,47.06028509197778,0.0249611537195919
165,165.0,38.438449,0.2082960306,0.0015858694,4.12206e-05,48.51897721798242,0.0248803861170124
166,166.0,38.358051,0.2083214169,0.001591611,4.22803e-05,48.455982598974416,0.0255752280625353
167,167.0,38.255239,0.2083575195999999,0.0016113938,4.43772e-05,45.55836695318075,0.0251651258838089
168,168.0,38.322711,0.2083761655,0.0016102932,4.68626e-05,44.49497345440192,0.025128253295274
169,169.0,38.256025,0.2083827009,0.001585107,4.5738e-05,43.45213143774821,0.0245647360646845
170,170.0,38.237042,0.2083480265,0.0015664304,4.29622e-05,45.69557026630942,0.0246973209955195
171,171.0,38.237308,0.2083176582,0.0015630422,4.14709e-05,47.5100806104322,0.02480663185231
172,172.0,38.071127,0.2083483299,0.0015858657,4.24224e-05,46.22738280328765,0.0251012456584076
173,173.0,38.03439,0.2083825604,0.0016017962,4.4685e-05,44.72922197822387,0.0253746808049438
174,174.0,37.956042,0.2083962854,0.0015891778,4.7675e-05,43.88331871152312,0.0252521905021615
175,175.0,37.936502,0.2083971983,0.0015693438,4.71415e-05,43.31413117581938,0.0248243707169014
176,176.0,37.854754,0.208356076,0.0015550833,4.57636e-05,46.15462299319399,0.0251312105115545
177,177.0,37.826532,0.2083372526,0.0015562678,4.5829800000000006e-05,47.07110631369558,0.0251083432391649
178,178.0,37.835129,0.208373801,0.0015705389,4.70867e-05,45.04711981062282,0.025130929956083
179,179.0,37.751132,0.2084067155,0.0015997077,5.00107e-05,42.71544445364979,0.024977538104112
180,180.0,37.706906,0.2084149276,0.0015889789,5.21894e-05,42.37919031863317,0.0249830829946243
181,181.0,37.649045,0.2083953735,0.0015707182,5.09079e-05,43.492534535087024,0.0249195981502732
182,182.0,37.636743,0.2083492987,0.0015617464999999,4.83222e-05,46.05876174752522,0.0249530901967839
183,183.0,37.556904,0.2083439486,0.0015652166,4.69992e-05,46.33510498399504,0.0249613931475238
184,184.0,37.537434,0.2083823185,0.0015858926,4.71205e-05,43.54744704091532,0.0246260239361302
